Timestamp,Source IP,Destination IP,MSE,Prediction,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Packet Length Mean,Bwd Packet Length Mean,Destination Port
2025-07-12 17:33:24,2409:40f3:2c:edd1:d8e7:2a3e:a25f:26c1,2404:6800:4007:832::200e,0.00073426816,BENIGN ✅,273,3,0,284,0,136.5,160.51323932934628,250,23,273,136.5,160.51323932934628,250,23,0,0.0,0.0,0,0,94.66666666666667,0.0,443
2025-07-12 17:33:25,2404:6800:4007:832::200e,2409:40f3:2c:edd1:d8e7:2a3e:a25f:26c1,0.0047770236,ATTACK 🚨,581,5,0,1510,0,145.25,124.062820108739,250,0,581,145.25,124.062820108739,250,0,0,0.0,0.0,0,0,302.0,0.0,59147
2025-07-12 17:33:29,fe80::38b7:12ff:fe3f:5238,fe80::e393:4939:8386:9b22,0.000118527336,BENIGN ✅,1,1,1,86,78,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0.0,0.0,0,0,86.0,78.0,0
2025-07-12 17:33:34,fe80::e393:4939:8386:9b22,fe80::38b7:12ff:fe3f:5238,0.000118520766,BENIGN ✅,12,1,1,86,78,12.0,0.0,12,12,0,0.0,0.0,0,0,0,0.0,0.0,0,0,86.0,78.0,0
2025-07-12 17:33:35,192.168.109.190,142.250.207.74,0.00015541825,BENIGN ✅,625,9,12,1139,1076,31.25,53.92575305088714,241,0,557,69.625,87.2335739756857,269,3,623,56.63636363636364,78.86859036051389,268,0,126.55555555555556,89.66666666666667,443
2025-07-12 17:33:41,2409:40f3:2c:edd1:d8e7:2a3e:a25f:26c1,2404:6800:4003:c05::bc,0.0006034016,BENIGN ✅,85,1,1,86,86,85.0,0.0,85,85,0,0.0,0.0,0,0,0,0.0,0.0,0,0,86.0,86.0,5228
2025-07-12 17:33:51,192.168.109.190,142.250.207.74,4.3589152e-05,BENIGN ✅,245,3,3,219,432,49.0,70.68592504876767,174,1,71,35.5,10.606601717798213,43,28,244,122.0,111.72287142747452,201,43,73.0,144.0,443
2025-07-12 17:34:00,fe80::38b7:12ff:fe3f:5238,fe80::e393:4939:8386:9b22,0.0001185279,BENIGN ✅,0,1,1,86,78,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,86.0,78.0,0
2025-07-12 17:34:05,fe80::e393:4939:8386:9b22,fe80::38b7:12ff:fe3f:5238,0.00011852654,BENIGN ✅,2,1,1,86,78,2.0,0.0,2,2,0,0.0,0.0,0,0,0,0.0,0.0,0,0,86.0,78.0,0
2025-07-12 17:34:06,192.168.109.190,142.250.207.74,7.435104e-05,BENIGN ✅,87,1,1,71,66,87.0,0.0,87,87,0,0.0,0.0,0,0,0,0.0,0.0,0,0,71.0,66.0,443
2025-07-12 17:34:21,192.168.109.190,142.250.207.74,6.242006e-05,BENIGN ✅,135,2,3,144,226,33.75,66.83499582304668,134,0,135,135.0,0.0,135,135,0,0.0,0.0,0,0,72.0,75.33333333333333,443
2025-07-12 17:34:26,192.168.109.190,192.168.109.235,3.8045207e-05,BENIGN ✅,68,1,1,79,131,68.0,0.0,68,68,0,0.0,0.0,0,0,0,0.0,0.0,0,0,79.0,131.0,53
2025-07-12 17:34:26,2404:6800:4007:832::200e,2409:40f3:2c:edd1:d8e7:2a3e:a25f:26c1,0.00097494596,BENIGN ✅,759,15,0,7759,0,54.214285714285715,128.28464658504754,491,0,759,54.214285714285715,128.28464658504754,491,0,0,0.0,0.0,0,0,517.2666666666667,0.0,37786
2025-07-12 17:34:26,2404:6800:4007:832::200e,2409:40f3:2c:edd1:d8e7:2a3e:a25f:26c1,0.0039911564,ATTACK 🚨,503,16,0,6876,0,33.53333333333333,77.92383338570947,300,0,503,33.53333333333333,77.92383338570947,300,0,0,0.0,0.0,0,0,429.7499999999999,0.0,48047
2025-07-12 17:34:26,2409:40f3:2c:edd1:d8e7:2a3e:a25f:26c1,2404:6800:4003:c05::bc,0.0006033987,BENIGN ✅,92,1,1,86,86,92.0,0.0,92,92,0,0.0,0.0,0,0,0,0.0,0.0,0,0,86.0,86.0,5228
2025-07-12 17:34:26,192.168.109.190,192.168.109.235,4.761792e-05,BENIGN ✅,68,1,1,79,119,68.0,0.0,68,68,0,0.0,0.0,0,0,0,0.0,0.0,0,0,79.0,119.0,53
2025-07-12 17:34:26,192.168.109.190,192.168.109.235,6.431635e-05,BENIGN ✅,69,1,1,79,153,69.0,0.0,69,69,0,0.0,0.0,0,0,0,0.0,0.0,0,0,79.0,153.0,53
2025-07-12 17:34:26,2409:40f3:2c:edd1:d8e7:2a3e:a25f:26c1,2404:6800:4007:832::200e,0.000708757,BENIGN ✅,424,11,12,5245,5068,19.27272727272727,42.15524801332493,189,0,374,37.4,65.34047580005655,191,0,353,32.090909090909086,56.833888738066385,190,0,476.81818181818176,422.3333333333333,443
2025-07-12 17:34:26,2409:40f3:2c:edd1:d8e7:2a3e:a25f:26c1,2404:6800:4007:832::200e,0.0019801052,BENIGN ✅,779,17,0,9536,0,48.6875,125.34577176753909,491,0,779,48.6875,125.34577176753909,491,0,0,0.0,0.0,0,0,560.9411764705882,0.0,443
2025-07-12 17:34:26,192.168.109.190,192.168.109.235,6.380972e-05,BENIGN ✅,26,1,1,85,113,26.0,0.0,26,26,0,0.0,0.0,0,0,0,0.0,0.0,0,0,85.0,113.0,53
2025-07-12 17:34:26,192.168.109.190,192.168.109.235,7.4308955e-05,BENIGN ✅,26,1,1,85,101,26.0,0.0,26,26,0,0.0,0.0,0,0,0,0.0,0.0,0,0,85.0,101.0,53
2025-07-12 17:34:26,192.168.109.190,192.168.109.235,0.00011386512,BENIGN ✅,27,1,1,85,159,27.0,0.0,27,27,0,0.0,0.0,0,0,0,0.0,0.0,0,0,85.0,159.0,53
2025-07-12 17:34:26,2409:40f3:2c:edd1:d8e7:2a3e:a25f:26c1,2404:6800:4007:832::200e,0.0026629912,ATTACK 🚨,471,13,0,9031,0,39.25,88.22504797906936,301,0,471,39.25,88.22504797906936,301,0,0,0.0,0.0,0,0,694.6923076923076,0.0,443
2025-07-12 17:34:36,192.168.109.190,142.250.207.74,0.00013415673,BENIGN ✅,762,9,12,1133,1372,38.1,105.21101603319323,474,0,714,89.25,160.08368347300643,476,1,679,61.727272727272734,148.2019506680603,501,0,125.88888888888889,114.33333333333333,443
